policy,previous_policy,perturbation_rate,sample,objective,access_cost,hit_ratio,local_hit_ratio,cooperative_hit_ratio,origin_miss_ratio,replication_cost,redundancy_cost,redundancy_ratio,relocation_cost,selected_policy
local_popularity,,0.05,3,16.778830190616564,13.933334695121069,0.6252114118283821,0.4612126334880789,0.16399877834030324,0.3747885872920354,5.0,0.15252752752752757,0.0739429729814345,0.0,
local_popularity,,0.05,4,16.57213002796929,13.955101911142787,0.6247894347179681,0.46256146661471575,0.16222796810325235,0.3752105633611791,5.0,0.13983489537925026,0.07681543342911876,0.0,
local_popularity,,0.05,5,16.634201553267722,13.533874613424654,0.637566953105852,0.45641390485689043,0.18115304824896156,0.3624330462189391,5.0,0.1666848299912816,0.07198324548192771,0.0,
local_popularity,,0.05,6,16.3462820912858,13.418562181222937,0.6410139313849964,0.46002706522612197,0.1809868661588744,0.35898606748761314,5.0,0.15709555055904803,0.07088164251207732,0.0,
local_popularity,,0.05,7,16.436709713622736,13.486000770384084,0.6389106924302483,0.45952717754009526,0.17938351489015317,0.36108930727564975,5.0,0.15837271906881414,0.07128669585811853,0.0,
local_popularity,,0.05,8,16.21207629798258,13.526636018993914,0.6379964109510183,0.45603977526641554,0.1819566356846028,0.362003588816151,5.0,0.14363557105492594,0.07108783200690381,0.0,
local_popularity,,0.05,9,16.013077700551136,13.576765581980952,0.6364755632239394,0.45547305536456406,0.18100250785937533,0.3635244364850223,5.0,0.12979511769834354,0.07010005885815182,0.0,
local_popularity,,0.05,10,16.8131231198078,13.923236458953394,0.6255140354235967,0.46119396419574815,0.16432007122784853,0.37448596376149607,5.0,0.15499370338080015,0.07335411699981659,0.0,
local_popularity,,0.05,11,16.50603667264904,13.482781498969416,0.6390675747472989,0.45787129835470725,0.18119627639259162,0.36093242500761624,5.0,0.1624030652044234,0.07118935553946412,0.0,
global_popularity,,0.05,0,24.502099916743365,20.45266661247135,0.42786274581319755,0.42786274581319755,0.0,0.5721372533330901,5.0,0.21941296134844515,0.10416666666666666,0.0,
global_popularity,,0.05,1,24.54414877102145,20.222495028994192,0.4346324979866806,0.4346324979866806,0.0,0.5653675008859289,5.0,0.2345363190015143,0.10416666666666669,0.0,
global_popularity,,0.05,2,24.751939802978058,20.32489097996149,0.4316208528354764,0.4316208528354764,0.0,0.5683791464893148,5.0,0.24039160127869805,0.10416666666666667,0.0,
global_popularity,,0.05,3,24.04694595999494,20.079247616490143,0.43884565743307274,0.43884565743307274,0.0,0.5611543416873448,5.0,0.2148721301947108,0.10416666666666659,0.0,
global_popularity,,0.05,4,23.501102813775095,19.987850852136035,0.44153379648923874,0.44153379648923874,0.0,0.5584662015899085,5.0,0.18962510897994767,0.1041666666666666,0.0,
global_popularity,,0.05,5,24.766652095916154,20.32489097996149,0.4316208528354764,0.4316208528354764,0.0,0.5683791464893148,5.0,0.24120895088637018,0.10416666666666663,0.0,
global_popularity,,0.05,6,24.478072508001212,20.222495028994192,0.4346324979866806,0.4346324979866806,0.0,0.5653675008859289,5.0,0.23086541550039,0.10416666666666666,0.0,
global_popularity,,0.05,7,24.487260335250337,20.221702587349636,0.4346558059516706,0.4346558059516706,0.0,0.5653441937542275,5.0,0.23141987488337232,0.10416666666666667,0.0,
global_popularity,,0.05,8,24.2838415446889,20.395335296505234,0.42954896162781453,0.42954896162781453,0.0,0.5704510381393548,5.0,0.21047256934353709,0.1041666666666666,0.0,
global_popularity,,0.05,9,23.93416560610143,20.36247314751381,0.43051549536176026,0.43051549536176026,0.0,0.5694845043472014,5.0,0.19287180325486766,0.10416666666666653,0.0,
global_popularity,,0.05,10,24.11267853149537,20.0508941664852,0.4396795824997955,0.4396795824997955,0.0,0.5603204166852973,5.0,0.22009913138945392,0.10416666666666659,0.0,
global_popularity,,0.05,11,24.67675437155151,20.299348782600934,0.43237209437709107,0.43237209437709107,0.0,0.567627905377824,5.0,0.23763364383058772,0.10416666666666659,0.0,
diversified_popularity,,0.05,0,2.7328256205265866,2.550872699863989,0.986950635133932,0.10212670315781401,0.884823931976118,0.013049364012355605,5.0,0.004552940036811005,0.0021615158204562183,0.0,
diversified_popularity,,0.05,1,2.745400081787265,2.5369937127696907,0.9873133996550582,0.10483332421924722,0.882480075435811,0.012686599217551319,5.0,0.006022576056531915,0.002674859378821228,0.0,
diversified_popularity,,0.05,2,2.7424934565527495,2.524533561173499,0.9873789139091969,0.10434969456400722,0.8830292193451896,0.01262108541559428,5.0,0.006553327521069458,0.002839692733912606,0.0,
diversified_popularity,,0.05,3,2.7599274658128685,2.5641704184429184,0.9876141732610348,0.09349426510743797,0.8941199081535969,0.012385825859382749,5.0,0.005319835964997255,0.002578973732819885,0.0,
diversified_popularity,,0.05,4,11.485406273850247,11.318547075942663,0.7212403429439291,0.07032724769669585,0.6509130952472333,0.27875965513521805,5.0,0.0037143998837547224,0.0020404294380587476,0.0,
diversified_popularity,,0.05,5,2.7361827470084075,2.523780828961328,0.9873789139091969,0.10434969456400722,0.8830292193451896,0.01262108541559428,5.0,0.006244551002615519,0.0026967243975903614,0.0,
diversified_popularity,,0.05,6,2.7496894270593413,2.537703927128171,0.9873133996550582,0.10483332421924722,0.882480075435811,0.012686599217551319,5.0,0.00622141666284281,0.0028071083505866123,0.0,
diversified_popularity,,0.05,7,2.726241329229976,2.5151506120272047,0.9875391167343447,0.10831480772283517,0.8792243090115095,0.012460882971553426,5.0,0.006171706511265086,0.0027780072703238604,0.0,
diversified_popularity,,0.05,8,2.711912796162896,2.5120871640791993,0.9880771894887503,0.11162344203330576,0.8764537474554446,0.011922810278418992,5.0,0.005545868449094256,0.0027447502157445574,0.0,
diversified_popularity,,0.05,9,2.777285238683237,2.58991056562308,0.9869663988647517,0.10553379417979158,0.8814326046849601,0.013033600844210014,5.0,0.004854148503342051,0.00262164018049833,0.0,
diversified_popularity,,0.05,10,2.7509475765945557,2.566524443784326,0.9873479931589423,0.09287027999137838,0.8944777131675639,0.012652006026150452,5.0,0.004690174045012755,0.0022197261446298667,0.0,
